Hood County,(Somervell County-15);(Parker County-24);
Morris County,(Titus County-15);
Camp County,(Upshur County-16);(Morris County-17);
Delta County,(Hopkins County-17);(Lamar County-20);(Fannin County-29);
Harrison County,(Marion County-17);(Panola County-27);
Jasper County,(Newton County-17);(Tyler County-21);
Aransas County,(Refugio County-19);
Cass County,(Marion County-19);(Morris County-23);
Gregg County,(Upshur County-19);(Rusk County-26);(Smith County-28);
Nueces County,(San Patricio County-19);
Sabine County,(San Augustine County-19);
Austin County,(Waller County-20);(Colorado County-24);(Washington County-24);
Franklin County,(Hopkins County-20);
Brazos County,(Grimes County-21);(Burleson County-22);(Robertson County-28);
Rains County,(Van Zandt County-21);(Wood County-25);
Bandera County,(Kerr County-22);(Medina County-28);
Collin County,(Rockwall County-22);(Grayson County-31);
Foard County,(Hardeman County-22);(Knox County-25);
Kaufman County,(Rockwall County-22);
Burleson County,(Washington County-23);(Lee County-24);(Milam County-29);
Comal County,(Hays County-23);(Guadalupe County-25);(Kendall County-28);
Dallas County,(Rockwall County-23);(Ellis County-29);(Tarrant County-30);
Hopkins County,(Rains County-23);
Houston County,(Trinity County-23);
Karnes County,(Wilson County-23);
Kleberg County,(Nueces County-23);
Leon County,(Madison County-23);
Bee County,(Live Oak County-24);(Goliad County-25);(San Patricio County-31);
Bosque County,(Somervell County-24);(Hill County-30);
Cameron County,(Willacy County-24);
Hays County,(Travis County-24);
Henderson County,(Van Zandt County-24);
Hunt County,(Rains County-24);(Rockwall County-24);
Jefferson County,(Orange County-24);
Travis County,(Williamson County-24);
Ward County,(Winkler County-24);
Angelina County,(Nacogdoches County-25);(San Augustine County-28);
Bastrop County,(Lee County-25);(Caldwell County-26);(Fayette County-28);
Chambers County,(Galveston County-25);(Liberty County-31);(Jefferson County-33);
Polk County,(San Jacinto County-25);(Trinity County-27);(Tyler County-27);
Archer County,(Wichita County-26);(Baylor County-30);(Clay County-30);(Young County-30);
Blanco County,(Hays County-26);
Bowie County,(Cass County-26);
Caldwell County,(Guadalupe County-26);(Gonzales County-27);
Duval County,(Jim Wells County-26);
Erath County,(Hood County-26);
Falls County,(McLennan County-26);(Limestone County-29);
Jackson County,(Victoria County-26);
Johnson County,(Somervell County-26);(Tarrant County-27);
Madison County,(Walker County-26);
Bailey County,(Lamb County-27);
Brown County,(Coleman County-27);(Comanche County-29);
Childress County,(Hall County-27);(Collingsworth County-30);(Cottle County-31);
DeWitt County,(Gonzales County-27);(Goliad County-29);
Live Oak County,(McMullen County-27);
Mills County,(San Saba County-27);
Panola County,(Shelby County-27);
San Augustine County,(Shelby County-27);
San Jacinto County,(Walker County-27);
Schleicher County,(Sutton County-27);(Tom Green County-35);
Bell County,(Williamson County-28);(Coryell County-31);
Burnet County,(Lampasas County-28);(Llano County-31);
Cochran County,(Hockley County-28);(Yoakum County-30);
Comanche County,(Erath County-28);(Eastland County-31);
Coryell County,(Hamilton County-28);(Lampasas County-30);
Crane County,(Upton County-28);(Ector County-30);(Pecos County-46);
Eastland County,(Stephens County-28);
Ellis County,(Navarro County-28);
Freestone County,(Limestone County-28);(Leon County-29);
Glasscock County,(Sterling County-28);(Howard County-30);(Midland County-30);
Goliad County,(Refugio County-28);(Victoria County-29);
Grimes County,(Walker County-28);
Hardin County,(Liberty County-28);(Tyler County-30);
Kimble County,(Menard County-28);
Montgomery County,(San Jacinto County-28);
Red River County,(Titus County-28);
Anderson County,(Cherokee County-29);(Freestone County-30);(Henderson County-30);
Bexar County,(Comal County-29);
Clay County,(Montague County-29);
Coke County,(Nolan County-29);
Colorado County,(Lavaca County-29);(Wharton County-30);
Cottle County,(Motley County-29);(Foard County-30);
Gillespie County,(Kendall County-29);(Kerr County-30);(Mason County-32);
Guadalupe County,(Wilson County-29);
Haskell County,(Knox County-29);(Stonewall County-30);(Throckmorton County-30);
Lampasas County,(Mills County-29);
Terry County,(Yoakum County-29);
Andrews County,(Ector County-30);(Gaines County-30);
Armstrong County,(Carson County-30);
Baylor County,(Throckmorton County-30);(Wilbarger County-32);
Borden County,(Dawson County-30);(Howard County-30);(Scurry County-30);(Garza County-31);
Briscoe County,(Hall County-30);(Swisher County-30);
Brooks County,(Jim Hogg County-30);(Kenedy County-37);
Callahan County,(Shackelford County-30);(Taylor County-30);
Carson County,(Hutchinson County-30);
Castro County,(Parmer County-30);(Swisher County-30);
Collingsworth County,(Wheeler County-30);
Concho County,(Menard County-30);(McCulloch County-32);
Cooke County,(Denton County-30);(Montague County-30);
Crosby County,(Dickens County-30);(Garza County-30);(Lubbock County-30);
Dallam County,(Hartley County-30);
Dawson County,(Martin County-30);
